"code","long_description","medium_description","short_description"
"60260","Thyroidectomy, removal of all remaining thyroid tissue following previous removal of a portion of thyroid","THYROIDECTOMY RMVL REMAINING TISS FLWG PRTL RMVL","REPEAT THYROID SURGERY"
"60270","Thyroidectomy, including substernal thyroid; sternal split or transthoracic approach","THYROIDECT W/SUBSTERNAL SPLIT/TRANSTHORACIC","REMOVAL OF THYROID"
"60271","Thyroidectomy, including substernal thyroid; cervical approach","THYROIDECTOMY SUBSTERNAL CERVICAL APPROACH","REMOVAL OF THYROID"
"60280","Excision of thyroglossal duct cyst or sinus;","EXCISION THYROGLOSSAL DUCT CYST/SINUS","REMOVE THYROID DUCT LESION"
"60281","Excision of thyroglossal duct cyst or sinus; recurrent","EXCISION THYROGLOSSAL DUCT CYST/SINUS RECURRENT","REMOVE THYROID DUCT LESION"
"60300","Aspiration and/or injection, thyroid cyst","ASPIRATION AND/OR INJECTION THYROID CYST","ASPIR/INJ THYROID CYST"
"60500","Parathyroidectomy or exploration of parathyroid(s);","PARATHYROIDECTOMY/EXPLORATION PARATHYROIDS","EXPLORE PARATHYROID GLANDS"
"60502","Parathyroidectomy or exploration of parathyroid(s); re-exploration","PARATHYROIDECTOMY/EXPLOR PARATHYROIDS RE-EXPLOR","RE-EXPLORE PARATHYROIDS"
"60505","Parathyroidectomy or exploration of parathyroid(s); with mediastinal exploration, sternal split or transthoracic approach","PARATHYRDEC/EXPL PARATHYR MEDSTNL STERNAL/TTHRC","EXPLORE PARATHYROID GLANDS"
"60512","Parathyroid autotransplantation (List separately in addition to code for primary procedure)","PARATHYROID AUTOTRANSPLANTATION ADD-ON","AUTOTRANSPLANT PARATHYROID"
"60520","Thymectomy, partial or total; transcervical approach (separate procedure)","THYMECTOMY PRTL/TOT TRANSCERVICAL APPR SPX","REMOVAL OF THYMUS GLAND"
"60521","Thymectomy, partial or total; sternal split or transthoracic approach, without radical mediastinal dissection (separate procedure)","THYMECTOMY PRTL/TOT W/O RAD MEDSTNL DSJ SPX","REMOVAL OF THYMUS GLAND"
"60522","Thymectomy, partial or total; sternal split or transthoracic approach, with radical mediastinal dissection (separate procedure)","THYMECTOMY PRTL/TOT RAD MEDSTNL DSJ SPX","REMOVAL OF THYMUS GLAND"
"60540","Adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal (separate procedure);","ADRENALECTOMY W/EXPL W/WO BX ABDL/LMBR/DRSAL SPX","EXPLORE ADRENAL GLAND"
"60545","Adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal (separate procedure); with excision of adjacent retroperitoneal tumor","ADRENALECTOMY EXPL W/EXC RETROPERTINEAL TUMOR","EXPLORE ADRENAL GLAND"
"60600","Excision of carotid body tumor; without excision of carotid artery","EXC CAROTID BODY TUMOR W/O EXC CAROTID ARTERY","REMOVE CAROTID BODY LESION"
"60605","Excision of carotid body tumor; with excision of carotid artery","EXC CAROTID BODY TUMOR W/O EXC CAROTID ARTERY","REMOVE CAROTID BODY LESION"
"60650","Laparoscopy, surgical, with adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal","LAPAROSCOPY ADRENALECTOMY PRTL/COMPL TABDL","LAPAROSCOPY ADRENALECTOMY"
"60659","Unlisted laparoscopy procedure, endocrine system","UNLISTED LAPAROSCOPY PROCEDURE ENDOCRINE SYSTEM","LAPARO PROC ENDOCRINE"
"60699","Unlisted procedure, endocrine system","UNLISTED PROCEDURE ENDOCRINE SYSTEM","ENDOCRINE SURGERY PROCEDURE"
"61000","Subdural tap through fontanelle, or suture, infant, unilateral or bilateral; initial","SUBDURAL TAP FONTANELLE/SUTUR INFANT UNI/BI INIT","REMOVE CRANIAL CAVITY FLUID"
"61001","Subdural tap through fontanelle, or suture, infant, unilateral or bilateral; subsequent taps","SUBDURAL TAP FONTANELLE/SUTUR INFANT UNI/BI SBSQ","REMOVE CRANIAL CAVITY FLUID"
"61020","Ventricular puncture through previous burr hole, fontanelle, suture, or implanted ventricular catheter/reservoir; without injection","VENTRICULAR PUNCTURE PREVIOUS BURR HOLE W/O NJX","REMOVE BRAIN CAVITY FLUID"
"61026","Ventricular puncture through previous burr hole, fontanelle, suture, or implanted ventricular catheter/reservoir; with injection of medication or other substance for diagnosis or treatment","VENTRICULAR PUNCTURE PREVIOUS BURR HOLE W/INJ","INJECTION INTO BRAIN CANAL"
"61050","Cisternal or lateral cervical (C1-C2) puncture; without injection (separate procedure)","CISTERNAL/LATERAL C1-C2 PUNCTURE W/O INJ SPX","REMOVE BRAIN CANAL FLUID"
"61055","Cisternal or lateral cervical (C1-C2) puncture; with injection of medication or other substance for diagnosis or treatment (eg, C1-C2)","CISTERNAL/LATERAL C1-C2 PUNCTURE W/INJECTION","INJECTION INTO BRAIN CANAL"
"61070","Puncture of shunt tubing or reservoir for aspiration or injection procedure","PUNCTURE SHUNT TUBE/RESERVOIR ASPIRATION/INJ PX","BRAIN CANAL SHUNT PROCEDURE"
"61105","Twist drill hole for subdural or ventricular puncture","TWIST DRILL HOLE SUBDURAL/VENTRICULAR PUNCTURE","TWIST DRILL HOLE"
"61107","Twist drill hole(s) for subdural, intracerebral, or ventricular puncture; for implanting ventricular catheter, pressure recording device, or other intracerebral monitoring device","TWIST DRILL HOLE IMPLT VENTRICULAR CATH/DEVICE","DRILL SKULL FOR IMPLANTATION"
"61108","Twist drill hole(s) for subdural, intracerebral, or ventricular puncture; for evacuation and/or drainage of subdural hematoma","TWIST DRILL HOLE EVAC&/DRG SUBDURAL HEMATOMA","DRILL SKULL FOR DRAINAGE"
"61120","Burr hole(s) for ventricular puncture (including injection of gas, contrast media, dye, or radioactive material)","BURR HOLE VENTRICULAR PUNCTURE","BURR HOLE FOR PUNCTURE"
"61140","Burr hole(s) or trephine; with biopsy of brain or intracranial lesion","BURR HOLE/TREPHINE W/BX BRAIN/INTRACRNIAL LESION","PIERCE SKULL FOR BIOPSY"
"61150","Burr hole(s) or trephine; with drainage of brain abscess or cyst","BURR HOLE/TREPHINE W/DRG BRAIN ABSCESS/CYST","PIERCE SKULL FOR DRAINAGE"
"61151","Burr hole(s) or trephine; with subsequent tapping (aspiration) of intracranial abscess or cyst","BURR HOLE/TREPHINE W/SBSQ TAPPING ICRA ABSC/CST","PIERCE SKULL FOR DRAINAGE"
"61154","Burr hole(s) with evacuation and/or drainage of hematoma, extradural or subdural","BURR HOLE W/EVAC&/DRG HEMATOMA XDRL/SDRL","PIERCE SKULL & REMOVE CLOT"
"61156","Burr hole(s); with aspiration of hematoma or cyst, intracerebral","BURR HOLE W/ASPIR HEMATOMA/CYST INTRACEREBRAL","PIERCE SKULL FOR DRAINAGE"
"61210","Burr hole(s); for implanting ventricular catheter, reservoir, EEG electrode(s), pressure recording device, or other cerebral monitoring device (separate procedure)","BURR HOLE IMPLANT VENTRICULAR CATH/OTHER DEVICE","PIERCE SKULL IMPLANT DEVICE"
"61215","Insertion of subcutaneous reservoir, pump or continuous infusion system for connection to ventricular catheter","INSJ SUBQ RSVR PUMP/INFUSION SYSTEM VENTRIC CATH","INSERT BRAIN-FLUID DEVICE"
"61250","Burr hole(s) or trephine, supratentorial, exploratory, not followed by other surgery","BURR HOLE/TREPHINE SUPRATENTORIAL W/O OTH SURG","PIERCE SKULL & EXPLORE"
"61253","Burr hole(s) or trephine, infratentorial, unilateral or bilateral","BURR HOLE/TREPHINE INFRATENTORIAL UNI/BI","PIERCE SKULL & EXPLORE"
"61304","Craniectomy or craniotomy, exploratory; supratentorial","CRANIECTOMY/CRANIOTOMY EXPL SUPRATENTORIAL","OPEN SKULL FOR EXPLORATION"
"61305","Craniectomy or craniotomy, exploratory; infratentorial (posterior fossa)","CRANIECTOMY/CRANIOTOMY EXPL INFRATENTORIAL","OPEN SKULL FOR EXPLORATION"
"61312","Craniectomy or craniotomy for evacuation of hematoma, supratentorial; extradural or subdural","CRANIECTOMY HMTMA SUPRATENTORIAL EXTRA/SUBDURAL","OPEN SKULL FOR DRAINAGE"
"61313","Craniectomy or craniotomy for evacuation of hematoma, supratentorial; intracerebral","CRANIECTOMY HMTMA SUPRATENTORIAL INTRACEREBRAL","OPEN SKULL FOR DRAINAGE"
"61314","Craniectomy or craniotomy for evacuation of hematoma, infratentorial; extradural or subdural","CRANIECTOMY HMTMA INFRATENTORIAL EXTRA/SUBDURAL","OPEN SKULL FOR DRAINAGE"
"61315","Craniectomy or craniotomy for evacuation of hematoma, infratentorial; intracerebellar","CRANIECTOMY HMTMA SUPRATENTORIAL INTRACEREBRAL","OPEN SKULL FOR DRAINAGE"
"61316","Incision and subcutaneous placement of cranial bone graft (List separately in addition to code for primary procedure)","INCISION & SUBCUTANEOUS PLMT CRANIAL BONE GRAFT","IMPLT CRAN BONE FLAP TO ABDO"
"61320","Craniectomy or craniotomy, drainage of intracranial abscess; supratentorial","CRANIECTOMY/CRANIOTMY DRG ABSCESS SUPRATENTORIAL","OPEN SKULL FOR DRAINAGE"
"61321","Craniectomy or craniotomy, drainage of intracranial abscess; infratentorial","CRANIECTOMY/CRANIOTMY DRG ABSCESS INFRATENTORIAL","OPEN SKULL FOR DRAINAGE"
"61322","Craniectomy or craniotomy, decompressive, with or without duraplasty, for treatment of intracranial hypertension, without evacuation of associated intraparenchymal hematoma; without lobectomy","CRANIECT/CRANIOT W/WO DURAPLASTY W/O LOBECTOMY","DECOMPRESSIVE CRANIOTOMY"
"61323","Craniectomy or craniotomy, decompressive, with or without duraplasty, for treatment of intracranial hypertension, without evacuation of associated intraparenchymal hematoma; with lobectomy","CRANIECT/CRANIOT W/WO DURAPLASTY W/LOBECTOMY","DECOMPRESSIVE LOBECTOMY"
"61330","Decompression of orbit only, transcranial approach","DECOMPRESSION ORBIT ONLY TRANSCRANIAL APPROACH","DECOMPRESS EYE SOCKET"
"61332","Exploration of orbit (transcranial approach); with biopsy","EXPLORATION ORBIT TRANSCRANIAL APPROACH W/BIOPSY","EXPLORE/BIOPSY EYE SOCKET"
"61333","Exploration of orbit (transcranial approach); with removal of lesion","EXPL ORBIT TRANSCRANIAL APPROACH W/RMVL LESION","EXPLORE ORBIT/REMOVE LESION"
"61334","Exploration of orbit (transcranial approach); with removal of foreign body","EXPL ORBIT TRANSCRANIAL W/RMVL FOREIGN BODY","EXPLORE ORBIT/REMOVE OBJECT"
"61340","Subtemporal cranial decompression (pseudotumor cerebri, slit ventricle syndrome)","SUBTEMPORAL CRANIAL DECOMPRESSION","SUBTEMPORAL DECOMPRESSION"
"61343","Craniectomy, suboccipital with cervical laminectomy for decompression of medulla and spinal cord, with or without dural graft (eg, Arnold-Chiari malformation)","CRNEC SUBOCCIPITAL CRV LAM DCMPRN MEDULLA & CORD","INCISE SKULL (PRESS RELIEF)"
"61345","Other cranial decompression, posterior fossa","OTHER CRANIAL DECOMPRESSION POSTERIOR FOSSA","RELIEVE CRANIAL PRESSURE"
"61440","Craniotomy for section of tentorium cerebelli (separate procedure)","CRANIOTOMY SECTION TENTORIUM CEREBELLI SPX","INCISE SKULL FOR SURGERY"
"61450","Craniectomy, subtemporal, for section, compression, or decompression of sensory root of gasserian ganglion","CRNEC STPL SCTJ COMPRESSION/DCMPRN GANGLION","INCISE SKULL FOR SURGERY"
"61458","Craniectomy, suboccipital; for exploration or decompression of cranial nerves","CRNEC SOPL EXPL/DCMPRN CRNL NRV","INCISE SKULL FOR BRAIN WOUND"
"61460","Craniectomy, suboccipital; for section of 1 or more cranial nerves","CRANIECTOMY SUBOCCIPITAL SECTION 1/> CRANIAL NRV","INCISE SKULL FOR SURGERY"
"61470","Craniectomy, suboccipital; for medullary tractotomy","CRANIECTOMY SUBOCCIPITAL MEDULLARY TRACTOTOMY","INCISE SKULL FOR SURGERY"
"61480","Craniectomy, suboccipital; for mesencephalic tractotomy or pedunculotomy","CRNEC SUBOCPTL MESENCEPHAL TRCOTOMY/PEDUNCULOTMY","INCISE SKULL FOR SURGERY"
"61490","Craniotomy for lobotomy, including cingulotomy","CRANIOTOMY LOBOTOMY W/CINGULOTOMY","INCISE SKULL FOR SURGERY"
"61500","Craniectomy; with excision of tumor or other bone lesion of skull","CRANIECTOMY W/EXCISION TUMOR/LESION SKULL","REMOVAL OF SKULL LESION"
"61501","Craniectomy; for osteomyelitis","CRANIECTOMY OSTEOMYELITIS","REMOVE INFECTED SKULL BONE"
"61510","Craniectomy, trephination, bone flap craniotomy; for excision of brain tumor, supratentorial, except meningioma","CRANIEC TREPHINE BONE FLP BRAIN TUMOR SUPRTENTOR","REMOVAL OF BRAIN LESION"
"61512","Craniectomy, trephination, bone flap craniotomy; for excision of meningioma, supratentorial","CRNEC TREPHINE BONE FLAP MENINGIOMA SUPRATENTOR","REMOVE BRAIN LINING LESION"
"61514","Craniectomy, trephination, bone flap craniotomy; for excision of brain abscess, supratentorial","CRNEC TREPHINE BONE FLAP BRAIN ABSC SUPRATENTOR","REMOVAL OF BRAIN ABSCESS"
"61516","Craniectomy, trephination, bone flap craniotomy; for excision or fenestration of cyst, supratentorial","CRNEC TREPHINE BONE FLAP FENEST CYST SUPRATENTOR","REMOVAL OF BRAIN LESION"
"61517","Implantation of brain intracavitary chemotherapy agent (List separately in addition to code for primary procedure)","IMPLTJ BRAIN INTRACAVITARY CHEMOTHERAPY AGENT","IMPLT BRAIN CHEMOTX ADD-ON"
"61518","Craniectomy for excision of brain tumor, infratentorial or posterior fossa; except meningioma, cerebellopontine angle tumor, or midline tumor at base of skull","CRNEC EXC BRAIN TUMOR INFRATENTORIAL/POST FOSSA","REMOVAL OF BRAIN LESION"
"61519","Craniectomy for excision of brain tumor, infratentorial or posterior fossa; meningioma","CRNEC EXC TUM INFRATENTOR/POST FOSSA MENINGIOMA","REMOVE BRAIN LINING LESION"
"61520","Craniectomy for excision of brain tumor, infratentorial or posterior fossa; cerebellopontine angle tumor","CRNEC TUM INFRATTL/POSTFOSSA CRBLOPNT ANGLE TUM","REMOVAL OF BRAIN LESION"
"61521","Craniectomy for excision of brain tumor, infratentorial or posterior fossa; midline tumor at base of skull","CRNEC TUM INFRATTL/PFOSSA MIDLINE TUM BASE SKULL","REMOVAL OF BRAIN LESION"
"61522","Craniectomy, infratentorial or posterior fossa; for excision of brain abscess","CRNEC INFRATNTORIAL/POST FOSSA EXC BRAIN ABSCESS","REMOVAL OF BRAIN ABSCESS"
"61524","Craniectomy, infratentorial or posterior fossa; for excision or fenestration of cyst","CRNEC INFRATNTOR/POSTFOSSA EXC/FENESTRATION CYST","REMOVAL OF BRAIN LESION"
"61526","Craniectomy, bone flap craniotomy, transtemporal (mastoid) for excision of cerebellopontine angle tumor;","CRNEC TRANSTEMPOR EXC CEREBELLOPONTINE ANGLE TUM","REMOVAL OF BRAIN LESION"
"61530","Craniectomy, bone flap craniotomy, transtemporal (mastoid) for excision of cerebellopontine angle tumor; combined with middle/posterior fossa craniotomy/craniectomy","CRNEC EXC CEREBELLOPNTIN ANGLE TUM MID/POSTFOSSA","REMOVAL OF BRAIN LESION"
"61531","Subdural implantation of strip electrodes through 1 or more burr or trephine hole(s) for long-term seizure monitoring","SUBDURAL IMPLTJ ELECTRODES SEIZURE MONITORING","IMPLANT BRAIN ELECTRODES"
"61533","Craniotomy with elevation of bone flap; for subdural implantation of an electrode array, for long-term seizure monitoring","CRANIOT SUBDURAL IMPLT ELCTRD SEIZURE MONITORING","IMPLANT BRAIN ELECTRODES"
"61534","Craniotomy with elevation of bone flap; for excision of epileptogenic focus without electrocorticography during surgery","CRANIOT EPILEPTOGENIC FOC W/O ELECTRCORTICOGRPHY","REMOVAL OF BRAIN LESION"
"61535","Craniotomy with elevation of bone flap; for removal of epidural or subdural electrode array, without excision of cerebral tissue (separate procedure)","CRANIOT RMVL EPID/SUBDURL ELCTRD W/O EXC TIS SPX","REMOVE BRAIN ELECTRODES"
"61536","Craniotomy with elevation of bone flap; for excision of cerebral epileptogenic focus, with electrocorticography during surgery (includes removal of electrode array)","CRANIOT EPILEPTOGENIC FOCUS W/ELECTROCORTCOGRPHY","REMOVAL OF BRAIN LESION"
"61537","Craniotomy with elevation of bone flap; for lobectomy, temporal lobe, without electrocorticography during surgery","CRANIOT TEMPORAL LOBE W/O ELECTROCORTICOGRAPHY","REMOVAL OF BRAIN TISSUE"
"61538","Craniotomy with elevation of bone flap; for lobectomy, temporal lobe, with electrocorticography during surgery","CRANIOT LOBEC TEMPORAL LOBE W/ELECTROCORTCOGRPHY","REMOVAL OF BRAIN TISSUE"
"61539","Craniotomy with elevation of bone flap; for lobectomy, other than temporal lobe, partial or total, with electrocorticography during surgery","CRANIOT LOBECTOMY OTH/THN TEMPORAL LOBE W/ECOG","REMOVAL OF BRAIN TISSUE"
"61540","Craniotomy with elevation of bone flap; for lobectomy, other than temporal lobe, partial or total, without electrocorticography during surgery","CRANIOT LOBECTOMY OTH/THN TEMPORAL LOBE W/O ECOG","REMOVAL OF BRAIN TISSUE"
"61541","Craniotomy with elevation of bone flap; for transection of corpus callosum","CRANIOTOMY TRANSECTION CORPUS CALLOSUM","INCISION OF BRAIN TISSUE"
"61542","Craniotomy with elevation of bone flap; for total hemispherectomy","CRANIOTOMY TOTAL HEMISPHERECTOMY","REMOVAL OF BRAIN TISSUE"
"61543","Craniotomy with elevation of bone flap; for partial or subtotal (functional) hemispherectomy","CRANIOTOMY PARTIAL/SUBTOTAL HEMISPHERECTOMY","REMOVAL OF BRAIN TISSUE"
"61544","Craniotomy with elevation of bone flap; for excision or coagulation of choroid plexus","CRANIOTOMY EXCISION/COAGULATION CHOROID PLEXUS","REMOVE & TREAT BRAIN LESION"
"61545","Craniotomy with elevation of bone flap; for excision of craniopharyngioma","CRANIOTOMY EXCISION CRANIOPHARYNGIOMA","EXCISION OF BRAIN TUMOR"
"61546","Craniotomy for hypophysectomy or excision of pituitary tumor, intracranial approach","CRANIOT HYPOPHYSEC/EXC PITUITARY TUMOR ICRL APPR","REMOVAL OF PITUITARY GLAND"
"61548","Hypophysectomy or excision of pituitary tumor, transnasal or transseptal approach, nonstereotactic","HYPOPHYSEC/EXC PITUITARY TUM TRANSNASAL/SEPTAL","REMOVAL OF PITUITARY GLAND"
"61550","Craniectomy for craniosynostosis; single cranial suture","CRANIECTOMY CRANIOSYNOSTOSIS 1 CRANIAL SUTURE","RELEASE OF SKULL SEAMS"
"61552","Craniectomy for craniosynostosis; multiple cranial sutures","CRANIECT CRANIOSYNOSTOSIS MULT CRANIAL SUTURES","RELEASE OF SKULL SEAMS"
"61556","Craniotomy for craniosynostosis; frontal or parietal bone flap","CRANIEC CRANIOSYNOSTOSIS FRONT/PARIET BONE FLAP","INCISE SKULL/SUTURES"
"61557","Craniotomy for craniosynostosis; bifrontal bone flap","CRANIECTOMY CRANIOSYNOSTOSIS BIFRONTAL BONE FLAP","INCISE SKULL/SUTURES"
"61558","Extensive craniectomy for multiple cranial suture craniosynostosis (eg, cloverleaf skull); not requiring bone grafts","XTN CRANIECT MULTIPLE SUTURE CRANIOSYNOSTOSIS","EXCISION OF SKULL/SUTURES"
"61559","Extensive craniectomy for multiple cranial suture craniosynostosis (eg, cloverleaf skull); recontouring with multiple osteotomies and bone autografts (eg, barrel-stave procedure) (includes obtaining grafts)","XTN CRNEC MLT SUTR CRANIOSYNOSTOSIS W/BONE GRAFT","EXCISION OF SKULL/SUTURES"
"61563","Excision, intra and extracranial, benign tumor of cranial bone (eg, fibrous dysplasia); without optic nerve decompression","EXC BENIGN TUM CRANIAL BONE W/O OPTIC NRV DCMPRN","EXCISION OF SKULL TUMOR"
"61564","Excision, intra and extracranial, benign tumor of cranial bone (eg, fibrous dysplasia); with optic nerve decompression","EXC BENIGN TUM CRANIAL BONE W/OPTIC NRV DCMPRN","EXCISION OF SKULL TUMOR"
"61566","Craniotomy with elevation of bone flap; for selective amygdalohippocampectomy","CRANIOTOMY SELECTIVE AMYGDALOHIPPOCAMPECTOMY","REMOVAL OF BRAIN TISSUE"
"61567","Craniotomy with elevation of bone flap; for multiple subpial transections, with electrocorticography during surgery","CRANIOTOMY MULTIPLE SUBPIAL TRANSECTIONS W/ECOG","INCISION OF BRAIN TISSUE"
"61570","Craniectomy or craniotomy; with excision of foreign body from brain","CRANIECTOMY/CRANIOTOMY EXC FOREIGN BODY BRAIN","REMOVE FOREIGN BODY BRAIN"
"61571","Craniectomy or craniotomy; with treatment of penetrating wound of brain","CRANIECTOMY/CRANIOTOMY TX PENETRATNG WOUND BRAIN","INCISE SKULL FOR BRAIN WOUND"
"61575","Transoral approach to skull base, brain stem or upper spinal cord for biopsy, decompression or excision of lesion;","TRNSRAL SKULL BSE/BR STEM/CORD BX/DCOMPR/EXC LES","SKULL BASE/BRAINSTEM SURGERY"
"61576","Transoral approach to skull base, brain stem or upper spinal cord for biopsy, decompression or excision of lesion; requiring splitting of tongue and/or mandible (including tracheostomy)","TRNSRL SKUL BSE/BR STM/CORD BX/DCMP/ SPLT TONGUE","SKULL BASE/BRAINSTEM SURGERY"
"61580","Craniofacial approach to anterior cranial fossa; extradural, including lateral rhinotomy, ethmoidectomy, sphenoidectomy, without maxillectomy or orbital exenteration","CRANIOFACIAL ANT CRANIAL FOSSA W/O ORBITAL EXNTJ","CRANIOFACIAL APPROACH SKULL"
"61581","Craniofacial approach to anterior cranial fossa; extradural, including lateral rhinotomy, orbital exenteration, ethmoidectomy, sphenoidectomy and/or maxillectomy","CRANIOFACIAL ANT CRANIAL FOSSA W/ORBITAL EXNTJ","CRANIOFACIAL APPROACH SKULL"
"61582","Craniofacial approach to anterior cranial fossa; extradural, including unilateral or bifrontal craniotomy, elevation of frontal lobe(s), osteotomy of base of anterior cranial fossa","CRANFCL ANT CRANIAL FOSSA UNI/BI CRANIOT/OSTEOT","CRANIOFACIAL APPROACH SKULL"
"61583","Craniofacial approach to anterior cranial fossa; intradural, including unilateral or bifrontal craniotomy, elevation or resection of frontal lobe, osteotomy of base of anterior cranial fossa","CRANFCL ANT CRANIAL FOSSA UNI/BIFRNTL ELEV LOBE","CRANIOFACIAL APPROACH SKULL"
"61584","Orbitocranial approach to anterior cranial fossa, extradural, including supraorbital ridge osteotomy and elevation of frontal and/or temporal lobe(s); without orbital exenteration","ORBITOCRANIAL ANT CRANIAL FOSSA W/O ORBIT EXNTJ","ORBITOCRANIAL APPROACH/SKULL"
"61585","Orbitocranial approach to anterior cranial fossa, extradural, including supraorbital ridge osteotomy and elevation of frontal and/or temporal lobe(s); with orbital exenteration","ORBITOCRANIAL ANT CRANIAL FOSSA W/ORBITAL EXNTJ","ORBITOCRANIAL APPROACH/SKULL"
"61586","Bicoronal, transzygomatic and/or LeFort I osteotomy approach to anterior cranial fossa with or without internal fixation, without bone graft","BICORONAL TRANSZYGMTC&/LEFORT I W/O BONE GRFT","RESECT NASOPHARYNX SKULL"
"61590","Infratemporal pre-auricular approach to middle cranial fossa (parapharyngeal space, infratemporal and midline skull base, nasopharynx), with or without disarticulation of the mandible, including parotidectomy, craniotomy, decompression and/or mobilization of the facial nerve and/or petrous carotid artery","INFRATEMPORAL MID CRANIAL FOSSA W/WO DISARTICLTN","INFRATEMPORAL APPROACH/SKULL"
"61591","Infratemporal post-auricular approach to middle cranial fossa (internal auditory meatus, petrous apex, tentorium, cavernous sinus, parasellar area, infratemporal fossa) including mastoidectomy, resection of sigmoid sinus, with or without decompression and/or mobilization of contents of auditory canal or petrous carotid artery","INFRATEMPO MID CRANIAL FOSSA W/WO DCOMPR&/MOBIL","INFRATEMPORAL APPROACH/SKULL"
"61592","Orbitocranial zygomatic approach to middle cranial fossa (cavernous sinus and carotid artery, clivus, basilar artery or petrous apex) including osteotomy of zygoma, craniotomy, extra- or intradural elevation of temporal lobe","ORBITOCRNL APPR MID CRANIAL FOSSA TEMPORAL LOBE","ORBITOCRANIAL APPROACH/SKULL"
"61595","Transtemporal approach to posterior cranial fossa, jugular foramen or midline skull base, including mastoidectomy, decompression of sigmoid sinus and/or facial nerve, with or without mobilization","TRANSTEMP APPR POST CRAN FOSSA DCOMPR SINUS/NRV","TRANSTEMPORAL APPROACH/SKULL"
"61596","Transcochlear approach to posterior cranial fossa, jugular foramen or midline skull base, including labyrinthectomy, decompression, with or without mobilization of facial nerve and/or petrous carotid artery","TRANSCOCHLR POST CRNL FOSSA W/WO MOBIL NRV/ART","TRANSCOCHLEAR APPROACH/SKULL"
"61597","Transcondylar (far lateral) approach to posterior cranial fossa, jugular foramen or midline skull base, including occipital condylectomy, mastoidectomy, resection of C1-C3 vertebral body(s), decompression of vertebral artery, with or without mobilization","TRNSCONDLR POST CRNL FOSSA DCOMPR ART W/WO MOBIL","TRANSCONDYLAR APPROACH/SKULL"
"61598","Transpetrosal approach to posterior cranial fossa, clivus or foramen magnum, including ligation of superior petrosal sinus and/or sigmoid sinus","TRANSPTRSAL POST CRNL FOSSA CLIVUS/FORAMN MAGNUM","TRANSPETROSAL APPROACH/SKULL"
"61600","Resection or excision of neoplastic, vascular or infectious lesion of base of anterior cranial fossa; extradural","RESCJ/EXC LES BASE ANT CRANIAL FOSSA EXTRADURAL","RESECT/EXCISE CRANIAL LESION"
"61601","Resection or excision of neoplastic, vascular or infectious lesion of base of anterior cranial fossa; intradural, including dural repair, with or without graft","RESCJ/EXC LES BASE ANT CRNL FOSSA INDRL W/WO GRF","RESECT/EXCISE CRANIAL LESION"
"61605","Resection or excision of neoplastic, vascular or infectious lesion of infratemporal fossa, parapharyngeal space, petrous apex; extradural","RESCJ/EXC LES INFRATEMPOR FOSSA SPACE APEX XDRL","RESECT/EXCISE CRANIAL LESION"
"61606","Resection or excision of neoplastic, vascular or infectious lesion of infratemporal fossa, parapharyngeal space, petrous apex; intradural, including dural repair, with or without graft","RESCJ/EXC LES ITPRL FOSSA SPACE APEX IDRL W/RPR","RESECT/EXCISE CRANIAL LESION"
"61607","Resection or excision of neoplastic, vascular or infectious lesion of parasellar area, cavernous sinus, clivus or midline skull base; extradural","RESCJ/EXC LES PARASELLAR SINUS CLIVUS/MSB XDRL","RESECT/EXCISE CRANIAL LESION"
"61608","Resection or excision of neoplastic, vascular or infectious lesion of parasellar area, cavernous sinus, clivus or midline skull base; intradural, including dural repair, with or without graft","RESCJ/EXC LES PARASELLAR SINUS CLIVUS/MSB IDRL","RESECT/EXCISE CRANIAL LESION"
"61609","Transection or ligation, carotid artery in cavernous sinus; without repair (List separately in addition to code for primary procedure)","TRNSXJ/LIGATION CAROTID ARTERY SINUS W/O REPAIR","TRANSECT ARTERY SINUS"
"61610","Transection or ligation, carotid artery in cavernous sinus; with repair by anastomosis or graft (List separately in addition to code for primary procedure)","TRNSXJ/LIG CAROTID ARTERY SINUS W/RPR ANAST/GRFT","TRANSECT ARTERY SINUS"
"61611","Transection or ligation, carotid artery in petrous canal; without repair (List separately in addition to code for primary procedure)","TRNSXJ/LIG CAROTID ARTERY PETROUS CANAL W/O RPR","TRANSECT ARTERY SINUS"
"61612","Transection or ligation, carotid artery in petrous canal; with repair by anastomosis or graft (List separately in addition to code for primary procedure)","TRNSXJ/LIG CRTD ART PETROUS CANAL RPR ANAST/GRF","TRANSECT ARTERY SINUS"
"61613","Obliteration of carotid aneurysm, arteriovenous malformation, or carotid-cavernous fistula by dissection within cavernous sinus","OBLTRJ CAROTID ARYSM ARTVEN CAROTID FISTULA DSJ","REMOVE ANEURYSM SINUS"
"61615","Resection or excision of neoplastic, vascular or infectious lesion of base of posterior cranial fossa, jugular foramen, foramen magnum, or C1-C3 vertebral bodies; extradural","RESCJ/EXC LES BASE POST CRNL FOSSA JUG FRMN XDRL","RESECT/EXCISE LESION SKULL"
